Timestamp,Plant_ID,Soil_Moisture,Ambient_Temperature,Soil_Temperature,Humidity,Light_Intensity,Soil_pH,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Chlorophyll_Content,Electrochemical_Signal,Plant_Health_Status,rainfall,label,Soil_Type,Crop1,Crop2,Crop3
54:53.4,1.0,27.52110877,22.24024536,21.90043536,55.2919039,556.1728051,5.581954516,10.00364972,45.80685203,39.07619903,35.70300571,0.941402146,High Stress,,,Slightly Acidic,Rice,Maize,Groundnut
54:53.4,1.0,14.83556615,21.70676328,18.68089194,63.94918051,596.1367212,7.135704906,30.712562,25.3943926,17.94482607,27.99329577,0.164899361,High Stress,,,Neutral,Wheat,Barley,Sugarcane
54:53.4,1.0,17.08636197,21.18094556,15.39293913,67.83795649,591.1246268,5.656852249,29.33700224,27.57389185,35.70653021,43.64630752,1.081728041,High Stress,,,Slightly Acidic,Rice,Maize,Groundnut
54:53.4,1.0,15.33615608,22.59330194,22.7783939,58.19081101,241.4124764,5.584522687,16.96662065,26.18070481,26.25774575,37.83809483,1.186087971,High Stress,,,Slightly Acidic,Rice,Maize,Groundnut
54:53.4,1.0,39.82221603,28.92900106,18.10093728,63.77203577,444.4938296,5.919706876,10.94496067,37.89890673,37.65448346,48.26581159,1.609805188,High Stress,,,Slightly Acidic,Rice,Maize,Groundnut
54:53.4,1.0,29.20836482,24.36420869,22.55155083,46.39281145,496.2330398,6.157930728,10.06011525,15.61066678,21.78267157,45.05218107,0.034301568,High Stress,,,Slightly Acidic,Rice,Maize,Groundnut
54:53.4,1.0,16.35140945,23.02289496,17.95034782,56.90621179,454.6392144,7.075570016,28.01088962,32.56459221,39.93465589,49.23293579,1.272920689,High Stress,,,Neutral,Wheat,Barley,Sugarcane
54:53.4,1.0,33.30769696,20.19918572,16.29822055,56.32621696,455.6989746,6.105038904,15.87137891,10.45418188,24.8537266,33.92517763,1.67554481,Moderate Stress,,,Slightly Acidic,Rice,Maize,Groundnut
54:53.4,1.0,12.72272609,25.46764547,16.69303635,47.54417466,635.0570337,6.487871877,45.63052964,47.45917901,12.45193331,47.75034983,1.391797621,High Stress,,,Slightly Acidic,Rice,Maize,Groundnut
54:53.4,1.0,13.24464144,27.63668533,23.62016942,65.61576854,393.2477805,5.580117097,44.42299621,39.81111371,38.61301951,35.61351856,0.962508633,High Stress,,,Slightly Acidic,Rice,Maize,Groundnut
54:53.4,1.0,24.99896013,25.9306236,22.67841216,56.82434202,482.2509998,5.664245676,47.15173742,29.66465528,43.8242091,36.56160003,1.522696311,Moderate Stress,,,Slightly Acidic,Rice,Maize,Groundnut
54:53.4,1.0,31.60661098,23.99464808,16.14286275,58.53132773,763.5381969,6.278609362,38.99632102,36.36820487,44.16586767,49.12470593,1.877492875,Healthy,,,Slightly Acidic,Rice,Maize,Groundnut
54:53.4,1.0,23.52604561,19.00049156,22.38428696,57.75413529,436.3746794,7.323472975,37.68127346,33.79822049,13.92725384,44.58031198,1.959886633,Moderate Stress,,,Neutral,Wheat,Barley,Sugarcane
54:53.4,1.0,21.53529606,19.73966999,19.52594533,47.50846028,724.1481607,6.738494159,23.20989199,20.83762928,47.81699295,27.39656391,1.731128951,Moderate Stress,,,Neutral,Wheat,Barley,Sugarcane
54:53.4,1.0,23.78048858,26.49079136,17.82397397,45.87979905,561.1187449,5.832179314,20.6044616,21.87283781,42.60746829,42.01517953,1.987300197,Moderate Stress,,,Slightly Acidic,Rice,Maize,Groundnut
54:53.4,1.0,28.12275834,27.29581421,19.7517873,52.06643945,515.1991468,5.939420931,38.00608619,46.98617181,20.36898511,42.51299941,0.656406233,Moderate Stress,,,Slightly Acidic,Rice,Maize,Groundnut
54:53.4,1.0,22.28116693,19.26392676,23.89279652,45.21420852,800.7266096,6.065295849,43.29970174,24.22871732,18.54316374,40.23556772,1.293190933,Moderate Stress,,,Slightly Acidic,Rice,Maize,Groundnut
54:53.4,1.0,15.20503814,23.63405835,22.75771916,40.83784537,423.1442155,6.151761405,38.02204032,29.99313829,49.61968734,43.20556291,1.542696616,High Stress,,,Slightly Acidic,Rice,Maize,Groundnut
54:53.4,1.0,39.2429306,29.39285652,19.18860894,61.67028339,203.4998926,6.001141621,19.61770094,24.06266418,24.71117237,36.92425882,0.221543895,Moderate Stress,,,Slightly Acidic,Rice,Maize,Groundnut
54:53.4,1.0,35.32985582,22.37344683,15.55854894,40.67374638,395.188528,6.019840604,18.30197622,40.10100498,48.28607161,26.75070041,1.072450352,Moderate Stress,,,Slightly Acidic,Rice,Maize,Groundnut
54:53.4,1.0,37.39698436,28.41618165,23.66326125,63.69918699,735.6818314,6.149846669,43.7009191,23.47129889,19.97797554,29.21447647,1.313238995,Healthy,,,Slightly Acidic,Rice,Maize,Groundnut
54:53.4,1.0,37.7451699,20.53086817,24.56634697,47.25582511,472.7790052,6.242700171,33.30690852,19.48625691,13.11521116,44.55607687,0.746642685,Healthy,,,Slightly Acidic,Rice,Maize,Groundnut
54:53.4,1.0,32.70184017,29.19280263,16.43910654,62.82887406,427.2720751,6.452995855,23.64884031,30.76573369,24.03496864,31.95257478,1.988519146,Healthy,,,Slightly Acidic,Rice,Maize,Groundnut
54:53.4,1.0,39.44635404,24.28970893,19.75106149,50.56190134,319.4868231,6.961696148,41.53746912,31.3466831,25.91164863,49.56668973,0.593445255,Healthy,,,Neutral,Wheat,Barley,Sugarcane
54:53.4,1.0,39.56736709,25.55026655,15.07453776,63.67890896,867.7026545,5.946760308,37.17596018,44.44907062,28.14194879,34.70314134,0.756583252,Healthy,,,Slightly Acidic,Rice,Maize,Groundnut
54:53.4,1.0,29.54570107,24.80921095,23.91903418,42.01890239,923.2339881,6.602158333,30.02690448,39.64089255,17.25571217,46.12034492,1.55546127,Moderate Stress,,,Neutral,Wheat,Barley,Sugarcane
54:53.4,1.0,15.49995908,26.28278385,24.91343666,40.25984234,677.0739746,6.195533414,41.4251533,44.00169977,47.26958663,32.21050191,0.220836811,High Stress,,,Slightly Acidic,Rice,Maize,Groundnut
